Frame,C2H6_gas,C2H8_gas,C3H12_gas,CH2O*,CH2_gas,CH3O*,CH3_gas,CH4O*,CH4_gas,CH5_gas,CH_gas,C_gas,H*,H2_gas,H_gas,O*,OH*
153,1,,,,1,1,2,,44,,,,1,2,2,24,
154,1,,,,1,1,2,,44,,,,1,2,2,24,
155,1,,,,1,1,2,,43,1,,,1,2,1,24,
156,1,,,,1,1,2,,44,,,,1,2,2,24,
157,1,,,,1,1,2,,44,,,,1,2,2,24,
158,1,,,,1,1,2,,44,,,,1,2,2,24,
159,1,,,,1,1,2,,44,,,,1,2,2,24,
160,1,,,,1,1,2,,44,,,,1,2,2,24,
161,1,,,,1,1,2,,44,,,,1,2,2,24,
162,1,,,,1,1,2,,44,,,,1,2,2,24,
163,1,,,,1,1,2,,44,,,,1,2,2,24,
164,1,,,,1,1,2,,44,,,,2,2,1,24,
165,1,,,,1,1,2,,44,,,,2,2,1,24,
166,1,,,,1,1,2,,44,,,,1,2,2,24,
167,1,,,,1,1,2,,44,,,,1,2,2,24,
168,1,,,,1,1,2,,44,,,,1,2,2,24,
169,1,,,,1,1,2,,44,,,,2,2,1,24,
170,1,,,,1,1,2,,44,,,,2,2,1,24,
171,1,,,,1,1,2,,44,,,,1,2,2,24,
172,1,,,,1,1,2,,44,,,,1,2,2,24,
173,1,,,,1,1,2,,44,,,,1,2,2,24,
174,1,,,,1,1,2,,44,,,,1,2,2,24,
175,1,,,,1,1,2,,44,,,,1,2,2,24,
176,1,,,,1,1,2,,44,,,,1,2,2,24,
177,1,,,,1,1,2,,44,,,,1,2,2,24,
178,1,,,,1,1,2,,44,,,,1,2,2,24,
179,1,,,,1,1,3,,43,,,,1,2,3,24,
180,1,,,,1,1,3,,43,,,,1,2,3,24,
181,1,,,,1,1,2,,44,,,,1,2,2,24,
182,1,,,,1,1,2,,43,1,,,1,2,1,24,
183,1,,,,1,1,2,,44,,,,1,2,2,24,
184,1,,,,1,1,2,,44,,,,1,2,2,24,
185,1,,,,1,1,3,,43,,,,1,2,3,24,
186,1,,,,1,1,3,,43,,,,1,2,3,24,
187,1,,,,1,1,2,,44,,,,1,2,2,24,
188,1,,,,1,1,2,,44,,,,1,2,2,24,
189,1,,,,1,1,2,,44,,,,2,2,1,24,
190,1,,,,1,1,2,,44,,,,2,2,1,24,
191,1,,,,1,1,3,,43,,,,1,2,3,24,
192,1,,,,1,1,3,,43,,,,1,2,3,24,
193,1,,,,1,1,2,,44,,,,2,2,1,24,
194,1,,,,1,1,2,,44,,,,2,2,1,24,
195,1,,,,1,1,2,,44,,,,2,2,1,24,
196,1,,,,1,1,2,,44,,,,2,2,1,24,
197,1,,,,1,1,3,,43,,,,2,2,2,24,
198,1,,,,1,1,3,,43,,,,1,2,3,24,
199,1,,,,1,1,2,,44,,,,1,2,2,24,
200,1,,,,1,1,2,,44,,,,1,2,2,24,
201,1,,,,1,1,2,,44,,,,1,2,2,24,
202,1,,,,1,1,2,,44,,,,2,2,1,24,
203,1,,,,1,1,3,,43,,,,2,2,2,24,
204,1,,,,1,1,3,,43,,,,2,2,2,24,
205,1,,,,1,1,2,,43,1,,,1,2,1,24,
206,1,,,,1,1,2,,44,,,,1,2,2,24,
207,1,,,,1,1,3,,43,,,,1,2,3,24,
208,1,,,,1,1,3,,43,,,,1,2,3,24,
209,1,,,,1,1,4,,42,,,,1,2,4,24,
210,1,,,,1,1,4,,42,,,,1,2,4,24,
211,1,,,,1,1,2,,44,,,,1,2,2,24,
212,1,,,,1,1,2,,44,,,,1,2,2,24,
213,1,,,,,1,3,,44,,,,1,2,1,24,
214,1,,,,1,1,3,,43,,,,1,2,3,24,
215,1,,,,2,1,3,,42,,,,1,2,5,24,
216,1,,,,2,1,3,,42,,,,2,2,4,24,
217,1,,,,1,1,3,,43,,,,1,2,3,24,
218,1,,,,1,1,2,,44,,,,1,2,2,24,
219,1,,,,1,1,2,,44,,,,1,2,2,24,
220,1,,,,1,1,2,,44,,,,1,2,2,24,
221,1,,,,1,1,3,,43,,,,1,2,3,24,
222,1,,,,1,1,4,,42,,,,1,2,4,24,
223,1,,,,1,1,4,,42,,,,1,2,4,24,
224,1,,,,1,1,3,,43,,,,1,2,3,24,
225,1,,,,1,1,2,,44,,,,1,2,2,24,
226,1,,,,1,1,2,,44,,,,1,2,2,24,
227,1,,,,1,1,2,,44,,,,1,2,2,24,
228,1,,,,2,1,3,,42,,,,1,2,5,24,
229,1,,,,2,1,3,,42,,,,1,2,5,24,
230,1,,,,1,1,3,,43,,,,2,2,2,24,
231,1,,,,1,1,3,,43,,,,2,2,2,24,
232,1,,,,1,1,2,,44,,,,1,2,2,24,
233,1,,,,1,1,2,,44,,,,1,2,2,24,
234,1,,,,1,1,3,,43,,,,1,2,3,24,
235,1,,,,1,1,3,,43,,,,1,2,3,24,
236,1,,,,1,1,3,,43,,,,1,2,3,24,
237,1,,,,1,1,3,,42,1,,,1,2,2,24,
238,1,,,,1,1,3,,43,,,,1,2,3,24,
239,1,,,,1,1,2,,44,,,,1,2,2,24,
240,1,,,,1,1,2,,44,,,,1,2,2,24,
241,1,,,,1,1,2,,44,,,,1,2,2,24,
242,1,,,,1,1,3,,43,,,,1,2,3,24,
243,1,,,,1,1,3,,43,,,,1,2,3,24,
244,1,,,,1,1,3,,43,,,,1,2,3,24,
245,1,,,,1,1,2,,44,,,,1,2,2,24,
246,1,,,,1,1,2,,44,,,,2,2,1,24,
247,1,,,,1,1,2,,44,,,,1,2,2,24,
248,1,,,,1,1,2,,44,,,,1,2,2,24,
249,1,,,,1,1,3,,43,,,,1,2,3,24,
250,1,,,,1,1,3,,43,,,,1,2,3,24,
251,1,,,,1,1,2,,44,,,,1,2,2,24,
252,1,,,,1,1,2,,44,,,,1,2,2,24,
253,1,,,,1,1,2,,44,,,,1,2,2,24,
254,1,,,,1,1,2,,44,,,,1,2,2,24,
255,1,,,,1,1,2,,44,,,,2,2,1,24,
256,1,,,,1,1,2,,44,,,,2,2,1,24,
257,1,,,,1,1,2,,44,,,,1,2,2,24,
258,1,,,,1,1,2,,44,,,,1,2,2,24,
259,1,,,,1,1,2,,44,,,,1,2,2,24,
260,1,,,,1,1,2,,44,,,,1,2,2,24,
261,1,,,,1,1,2,,44,,,,1,2,2,24,
262,1,,,,1,1,2,,44,,,,1,2,2,24,
263,1,,,,1,1,2,,44,,,,1,2,2,24,
264,1,,,,1,1,2,,44,,,,1,2,2,24,
265,1,,,,1,1,2,,44,,,,2,2,1,24,
266,1,,,,1,1,2,,44,,,,1,2,2,24,
267,1,,,,1,1,2,,44,,,,1,2,2,24,
268,1,,,,1,1,2,,44,,,,1,2,2,24,
269,1,,,,1,1,2,,44,,,,1,2,2,24,
270,1,,,,1,1,2,,44,,,,1,2,2,24,
271,1,,,,1,1,2,,44,,,,1,2,2,24,
272,1,,,,1,1,2,,44,,,,1,2,2,24,
273,1,,,,1,1,2,,44,,,,1,2,2,24,
274,1,,,,1,1,2,,44,,,,1,2,2,24,
275,1,,,,1,1,2,,44,,,,2,2,1,24,
276,1,,,,1,1,2,,44,,,,1,2,2,24,
277,1,,,,1,1,2,,44,,,,1,2,2,24,
278,1,,,,1,1,2,,44,,,,1,2,2,24,
279,1,,,,1,1,2,,44,,,,1,2,2,24,
280,1,,,,1,1,2,,44,,,,1,2,2,24,
281,1,,,,1,1,2,,44,,,,1,2,2,24,
282,1,,,,1,1,2,,44,,,,1,2,2,24,
283,1,,,,1,1,2,,44,,,,1,2,2,24,
284,1,,,,1,1,2,,44,,,,1,2,2,24,
285,1,,,,1,1,2,,44,,,,2,2,1,24,
286,1,,,,1,1,2,,44,,,,1,2,2,24,
287,1,,,,1,1,2,,44,,,,1,2,2,24,
288,1,,,,1,1,2,,44,,,,1,2,2,24,
289,1,,,,1,1,2,,44,,,,1,2,2,24,
290,1,,,,1,1,2,,44,,,,1,2,2,24,
291,1,,,,1,1,3,,43,,,,1,2,3,24,
292,1,,,,1,1,3,,43,,,,1,2,3,24,
293,1,,,,1,1,2,,44,,,,1,2,2,24,
294,1,,,,1,1,2,,44,,,,1,2,2,24,
295,1,,,,1,1,2,,44,,,,1,2,2,24,
296,1,,,,1,1,2,,44,,,,2,2,1,24,
297,1,,,,1,1,3,,43,,,,1,2,3,24,
